category,taxonomy_category,term,source_field,frequency,example_count
Age,demographic_axis,age,category,3680,3680
Age,direct_sensitive_term,nonold,additional_metadata.stereotyped_groups,2032,2032
Age,direct_sensitive_term,old,additional_metadata.stereotyped_groups,1648,1648
Age,direct_sensitive_term,nonold,answer_info.ans2,1332,1332
Age,direct_sensitive_term,old,answer_info.ans2,1256,1256
Age,direct_sensitive_term,old,answer_info.ans0,1224,1224
Age,direct_sensitive_term,nonold,answer_info.ans0,1204,1204
Age,direct_sensitive_term,old,answer_info.ans1,1200,1200
Age,direct_sensitive_term,nonold,answer_info.ans1,1144,1144
Age,group_identifier,22-year-old,answer_info.ans0,92,92
Age,group_identifier,retiree,answer_info.ans2,92,92
Age,group_identifier,22-year-old,answer_info.ans1,88,88
Age,group_identifier,28-year-old,answer_info.ans2,84,84
Age,group_identifier,22-year-old,answer_info.ans2,80,80
Age,group_identifier,high schooler,answer_info.ans1,76,76
Age,group_identifier,middle-aged guy,answer_info.ans0,76,76
Age,group_identifier,grandmother,answer_info.ans2,72,72
Age,group_identifier,high schooler,answer_info.ans2,72,72
Age,group_identifier,older adult,answer_info.ans2,72,72
Age,group_identifier,retiree,answer_info.ans1,72,72
Age,group_identifier,old-timer,answer_info.ans1,68,68
Age,group_identifier,old-timer,answer_info.ans2,68,68
Age,group_identifier,retiree,answer_info.ans0,68,68
Age,group_identifier,college sophomore,answer_info.ans2,64,64
Age,group_identifier,high school student,answer_info.ans2,64,64
Age,group_identifier,older adult,answer_info.ans1,64,64
Age,group_identifier,teen,answer_info.ans0,64,64
Age,group_identifier,teen,answer_info.ans2,64,64
Age,group_identifier,teenager,answer_info.ans2,64,64
Age,group_identifier,24 year old,answer_info.ans2,60,60
Age,group_identifier,middle-aged man,answer_info.ans0,60,60
Age,group_identifier,28-year-old,answer_info.ans0,56,56
Age,group_identifier,29 year old,answer_info.ans2,56,56
Age,group_identifier,elderly man,answer_info.ans0,56,56
Age,group_identifier,elderly woman,answer_info.ans1,56,56
Age,group_identifier,elderly woman,answer_info.ans2,56,56
Age,group_identifier,middle-aged guy,answer_info.ans1,56,56
Age,group_identifier,28-year-old,answer_info.ans1,52,52
Age,group_identifier,elderly man,answer_info.ans2,52,52
Age,group_identifier,high school junior,answer_info.ans0,52,52
Age,group_identifier,middle-aged guy,answer_info.ans2,52,52
Age,group_identifier,teenager,answer_info.ans0,52,52
Age,group_identifier,teenager,answer_info.ans1,52,52
Age,group_identifier,young adult,answer_info.ans2,52,52
Age,group_identifier,24-year-old,answer_info.ans2,48,48
Age,group_identifier,55-year-old,answer_info.ans1,48,48
Age,group_identifier,college freshman,answer_info.ans0,48,48
Age,group_identifier,college student,answer_info.ans1,48,48
Age,group_identifier,grandfather,answer_info.ans1,48,48
Age,group_identifier,old-timer,answer_info.ans0,48,48
Age,group_identifier,older adult,answer_info.ans0,48,48
Age,group_identifier,younger guy,answer_info.ans2,48,48
Age,group_identifier,24-year-old,answer_info.ans0,44,44
Age,group_identifier,29 year old,answer_info.ans1,44,44
Age,group_identifier,60-year-old,answer_info.ans2,44,44
Age,group_identifier,grandfather,answer_info.ans0,44,44
Age,group_identifier,high school student,answer_info.ans0,44,44
Age,group_identifier,middle-aged woman,answer_info.ans0,44,44
Age,group_identifier,middle-aged woman,answer_info.ans1,44,44
Age,group_identifier,older person,answer_info.ans0,44,44
Age,group_identifier,young adult,answer_info.ans1,44,44
Age,group_identifier,24 year old,answer_info.ans0,40,40
Age,group_identifier,24-year-old,answer_info.ans1,40,40
Age,group_identifier,30-year-old,answer_info.ans1,40,40
Age,group_identifier,60-year-old,answer_info.ans1,40,40
Age,group_identifier,adolescent,answer_info.ans0,40,40
Age,group_identifier,college freshman,answer_info.ans2,40,40
Age,group_identifier,college student,answer_info.ans2,40,40
Age,group_identifier,high school freshman,answer_info.ans1,40,40
Age,group_identifier,old geezer,answer_info.ans2,40,40
Age,group_identifier,teen,answer_info.ans1,40,40
Age,group_identifier,younger guy,answer_info.ans1,40,40
Age,group_identifier,50-year-old,answer_info.ans0,36,36
Age,group_identifier,50-year-old,answer_info.ans2,36,36
Age,group_identifier,82 year old,answer_info.ans0,36,36
Age,group_identifier,aging,answer_info.ans0,36,36
Age,group_identifier,daughter,answer_info.ans0,36,36
Age,group_identifier,elderly,answer_info.ans2,36,36
Age,group_identifier,elderly man,answer_info.ans1,36,36
Age,group_identifier,high school student,answer_info.ans1,36,36
Age,group_identifier,high schooler,answer_info.ans0,36,36
Age,group_identifier,old geezer,answer_info.ans1,36,36
Age,group_identifier,older,answer_info.ans2,36,36
Age,group_identifier,older person,answer_info.ans1,36,36
Age,group_identifier,younger,answer_info.ans0,36,36
Age,group_identifier,15 year old,answer_info.ans0,32,32
Age,group_identifier,50-year-old,answer_info.ans1,32,32
Age,group_identifier,55-year-old,answer_info.ans2,32,32
Age,group_identifier,60-year-old,answer_info.ans0,32,32
Age,group_identifier,78-year-old,answer_info.ans2,32,32
Age,group_identifier,84-year-old,answer_info.ans0,32,32
Age,group_identifier,college freshman,answer_info.ans1,32,32
Age,group_identifier,college sophomore,answer_info.ans0,32,32
Age,group_identifier,college student,answer_info.ans0,32,32
Age,group_identifier,elderly,answer_info.ans0,32,32
Age,group_identifier,elderly woman,answer_info.ans0,32,32
Age,group_identifier,granddaughter,answer_info.ans1,32,32
Age,group_identifier,grandparent,answer_info.ans0,32,32
Age,group_identifier,high school freshman,answer_info.ans0,32,32
Age,group_identifier,old,answer_info.ans0,32,32
Age,group_identifier,older person,answer_info.ans2,32,32
Age,group_identifier,sixty-something,answer_info.ans0,32,32
Age,group_identifier,twenty-something,answer_info.ans0,32,32
Age,group_identifier,twenty-something,answer_info.ans2,32,32
Age,group_identifier,young,answer_info.ans2,32,32
Age,group_identifier,younger,answer_info.ans1,32,32
Age,group_identifier,younger guy,answer_info.ans0,32,32
Age,group_identifier,youthful,answer_info.ans0,32,32
Age,group_identifier,youthful,answer_info.ans2,32,32
Age,group_identifier,17-year-old,answer_info.ans2,28,28
Age,group_identifier,24 year old,answer_info.ans1,28,28
Age,group_identifier,29 year old,answer_info.ans0,28,28
